Period,Recoveries,TotalCollections(+ Reco + Reserve),A Interest Due,A Interest Paid,A Interest Shortfall,B Interest Due,B Interest Paid,B Interest Shortfall,A Prin Due,A Prin Paid,A Prin Shortfall,Cash Reserve,B Prin Due,B Prin Paid,B Prin Shortfall,A Balance,B Balance,Cash Reserve
21,0,350148.59348722565,21078.305873450376,21078.305873450376,0,9456.420210699998,9456.420210699998,0,52470.33528333975,52470.33528333975,0,267143.5321197356,0.0,0.0,0,2055360.252061698,756513.6168559999,267143.5321197356
22,6756.590676,365365.4124885681,20553.602520616976,20553.602520616976,0,9456.420210699998,9456.420210699998,0,52964.990691149396,52964.990691149396,0,282390.3990661017,0.0,0.0,0,2002395.2613705485,756513.6168559999,282390.3990661017
23,0,373855.68875893415,20023.952613705485,20023.952613705485,0,9456.420210699998,9456.420210699998,0,53707.812500521744,53707.812500521744,0,290667.50343400694,0.0,0.0,0,1948687.4488700267,756513.6168559999,290667.50343400694
24,0,382132.7931268394,19486.874488700265,19486.874488700265,0,9456.420210699998,9456.420210699998,0,54461.18789023975,54461.18789023975,0,298728.3105371994,0.0,0.0,0,1894226.260979787,756513.6168559999,298728.3105371994
25,0,390193.6002300318,18942.26260979787,18942.26260979787,0,9456.420210699998,9456.420210699998,0,55225.26864137305,55225.26864137305,0,306569.6487681609,0.0,0.0,0,1839000.9923384138,756513.6168559999,306569.6487681609
26,0,398034.93846099335,18390.009923384136,18390.009923384136,0,9456.420210699998,9456.420210699998,0,56000.2087430124,56000.2087430124,0,314188.2995838968,0.0,0.0,0,1783000.7835954013,756513.6168559999,314188.2995838968
27,0,405653.58927672927,17830.007835954013,17830.007835954013,0,9456.420210699998,9456.420210699998,0,56786.1644247349,56786.1644247349,0,321580.99680534034,0.0,0.0,0,1726214.6191706664,756513.6168559999,321580.99680534034
28,0,413046.2864981728,17262.146191706663,17262.146191706663,0,9456.420210699998,9456.420210699998,0,57583.294189550856,57583.294189550856,0,328744.42590621527,0.0,0.0,0,1668631.3249811155,756513.6168559999,328744.42590621527
29,9002.381994,428830.64221598534,16686.313249811155,16686.313249811155,0,9456.420210699998,9456.420210699998,0,58125.0280783938,58125.0280783938,0,344562.8806770804,0.0,0.0,0,1610506.2969027217,756513.6168559999,344562.8806770804
30,0,435646.7149928505,16105.062969027218,16105.062969027218,0,9456.420210699998,9456.420210699998,0,58942.083411857144,58942.083411857144,0,351143.1484012662,0.0,0.0,0,1551564.2134908645,756513.6168559999,351143.1484012662
31,0,442226.98271703627,15515.642134908645,15515.642134908645,0,9456.420210699998,9456.420210699998,0,59770.7706245596,59770.7706245596,0,357484.14974686806,0.0,0.0,0,1491793.442866305,756513.6168559999,357484.14974686806
32,0,448567.98406263813,14917.93442866305,14917.93442866305,0,9456.420210699998,9456.420210699998,0,60611.25730718702,60611.25730718702,0,363582.3721160881,0.0,0.0,0,1431182.185559118,756513.6168559999,363582.3721160881
33,0,454666.20643185824,14311.821855591179,14311.821855591179,0,9456.420210699998,9456.420210699998,0,61463.71349231652,61463.71349231652,0,369434.2508732505,0.0,0.0,0,1369718.4720668015,756513.6168559999,369434.2508732505
34,0,460518.0851890206,13697.184720668016,13697.184720668016,0,9456.420210699998,9456.420210699998,0,62328.31169037058,62328.31169037058,0,375036.16856728203,0.0,0.0,0,1307390.160376431,756513.6168559999,375036.16856728203
35,9133.237548,474698.20405926195,13073.901603764309,13073.901603764309,0,9456.420210699998,9456.420210699998,0,62764.753525145374,62764.753525145374,0,389403.1287196522,0.0,0.0,0,1244625.4068512856,756513.6168559999,389403.1287196522
36,10174.098132,489619.9750001582,12446.254068512855,12446.254068512855,0,9456.420210699998,9456.420210699998,0,63303.81231325666,63303.81231325666,0,404413.4884076886,0.0,0.0,0,1181321.594538029,756513.6168559999,404413.4884076886
37,0,494456.2365561946,11813.21594538029,11813.21594538029,0,9456.420210699998,9456.420210699998,0,64194.95918935759,64194.95918935759,0,408991.64121075673,0.0,0.0,0,1117126.6353486713,756513.6168559999,408991.64121075673
38,0,499034.3893592627,11171.266353486712,11171.266353486712,0,9456.420210699998,9456.420210699998,0,65098.81182120171,65098.81182120171,0,413307.8909738743,0.0,0.0,0,1052027.8235274695,756513.6168559999,413307.8909738743
39,0,503350.6391223803,10520.278235274694,10520.278235274694,0,9456.420210699998,9456.420210699998,0,66015.5535522685,66015.5535522685,0,417358.3871241371,0.0,0.0,0,986012.269975201,756513.6168559999,417358.3871241371
